fabric,vrf,displayName,networkId,networkTemplate,networkExtensionTemplate,networkName,secondaryGW3,suppressArp,secondaryGW2,secondaryGW1,loopbackId,enableL3OnBorder,enableIR,rtBothAuto,isLayer2Only,vrfDhcp3,vrfDhcp2,dhcpServerAddr3,gatewayIpV6Address,dhcpServerAddr2,dhcpServerAddr1,tag,nveId,vrfDhcp,secondaryGW4,vlanId,gatewayIpAddress,vlanName,mtu,intfDescription,mcastGroup,trmEnabled
SoAZ-PHX,NA,DMZ-GPS-APP,30122,Default_Network_Universal,Default_Network_Extension_Universal,DMZ-GPS-APP,,false,,,,false,false,false,true,,,,,,,12345,1,,,512,,,,,239.1.1.83,false
SoAZ-PHX,NA,dt-mvm-FW-CONN,30107,Default_Network_Universal,Default_Network_Extension_Universal,dt-mvm-FW-CONN,,false,,,,false,false,false,true,,,,,,,12345,1,,,2086,,,,,239.1.1.84,false
SoAZ-PHX,NA,DMZ-DNS1,30114,Default_Network_Universal,Default_Network_Extension_Universal,DMZ-DNS1,,false,,,,false,false,false,true,,,,,,,12345,1,,,501,,,,,239.1.1.85,false
SoAZ-PHX,NA,ADE-VLAN736,30736,Default_Network_Universal,Default_Network_Extension_Universal,ADE-VLAN736,,false,,,,false,false,true,true,,,,,,,12345,1,,,736,,ADE-VLAN736,,,239.1.1.0,false
SoAZ-PHX,NA,ADE-Servers-Data,30703,Default_Network_Universal,Default_Network_Extension_Universal,ADE-Servers-Data,,false,,,,false,false,true,true,,,,,,,12345,1,,,703,,ADE-Servers-Data,,,239.1.1.0,false
SoAZ-PHX,NA,DMZ-DNS3,30116,Default_Network_Universal,Default_Network_Extension_Universal,DMZ-DNS3,,false,,,,false,false,false,true,,,,,,,12345,1,,,503,,,,,239.1.1.88,false
SoAZ-PHX,NA,ADE-Servers-Prod,30704,Default_Network_Universal,Default_Network_Extension_Universal,ADE-Servers-Prod,,false,,,,false,false,true,true,,,,,,,12345,1,,,704,,ADE-Servers-Prod,,,239.1.1.0,false
SoAZ-PHX,NA,dc-dmz,30167,Default_Network_Universal,Default_Network_Extension_Universal,dc-dmz-,,false,,,,false,false,false,true,,,,,,,12345,1,,,2108,,,,,239.1.1.90,false
SoAZ-PHX,NA,FRONT-END-AGENCY-MGMT,30075,Default_Network_Universal,Default_Network_Extension_Universal,FRONT-END-AGENCY-MGMT,,false,,,,false,false,false,true,,,,,,,12345,1,,,3961,,,,,239.1.1.91,false
SoAZ-PHX,NA,ADOT-RESERVED-1728,30103,Default_Network_Universal,Default_Network_Extension_Universal,ADOT-RESERVED-1728,,false,,,,false,false,false,true,,,,,,,12345,1,,,1728,,,,,239.1.1.92,false
SoAZ-PHX,NA,ADE-IAAS-VMO-and-Cluster,30728,Default_Network_Universal,Default_Network_Extension_Universal,ADE-IAAS-VMO-and-Cluster,,false,,,,false,false,true,true,,,,,,,12345,1,,,728,,ADE-IAAS-VMO-and-Cluster,,,239.1.1.0,false
SoAZ-PHX,NA,BACK-END-AGENCY-MGMT-1507,30060,Default_Network_Universal,Default_Network_Extension_Universal,BACK-END-AGENCY-MGMT-1507,,false,,,,false,false,false,true,,,,,,,12345,1,,,1507,,,,,239.1.1.94,false
SoAZ-PHX,NA,ADE-EXCHANGE-DAG,30752,Default_Network_Universal,Default_Network_Extension_Universal,ADE-EXCHANGE-DAG,,false,,,,false,false,true,true,,,,,,,12345,1,,,752,,ADE-EXCHANGE-DAG,,,239.1.1.0,false
SoAZ-PHX,NA,ps-data-1672,30037,Default_Network_Universal,Default_Network_Extension_Universal,ps-data-1672,,false,,,,false,false,false,true,,,,,,,12345,1,,,1672,,,,,239.1.1.0,false
